year,category,winner,entity
1929,SOUND RECORDING,False,The Love Parade
1929,SOUND RECORDING,False,Raffles
1929,SOUND RECORDING,False,Song of the Flame
1929,WRITING,False,All Quiet on the Western Front
1929,WRITING,True,The Big House
1929,WRITING,False,Disraeli
1929,WRITING,False,The Divorcee
1929,WRITING,False,Street of Chance
1930,ACTOR,True,Lionel Barrymore
1930,ACTOR,False,Jackie Cooper
1930,ACTOR,False,Richard Dix
1930,ACTOR,False,Fredric March
1930,ACTOR,False,Adolphe Menjou
1930,ACTRESS,False,Marlene Dietrich
1930,ACTRESS,True,Marie Dressler
1930,ACTRESS,False,Irene Dunne
1930,ACTRESS,False,Ann Harding
1930,ACTRESS,False,Norma Shearer
1930,ART DIRECTION,True,Cimarron
1930,ART DIRECTION,False,Just Imagine
1930,ART DIRECTION,False,Morocco
1930,ART DIRECTION,False,Svengali
1930,ART DIRECTION,False,Whoopee!
1930,CINEMATOGRAPHY,False,Cimarron
1930,CINEMATOGRAPHY,False,Morocco
1930,CINEMATOGRAPHY,False,The Right to Love
1930,CINEMATOGRAPHY,False,Svengali
1930,CINEMATOGRAPHY,True,Tabu
1930,DIRECTING,False,Cimarron
1930,DIRECTING,False,A Free Soul
1930,DIRECTING,False,The Front Page
1930,DIRECTING,False,Morocco
1930,DIRECTING,True,Skippy
1930,OUTSTANDING PRODUCTION,True,Cimarron
1930,OUTSTANDING PRODUCTION,False,East Lynne
1930,OUTSTANDING PRODUCTION,False,The Front Page
1930,OUTSTANDING PRODUCTION,False,Skippy
1930,OUTSTANDING PRODUCTION,False,Trader Horn
1930,SOUND RECORDING,False,Samuel Goldwyn - United Artists Studio Sound Department
1930,SOUND RECORDING,False,Metro-Goldwyn-Mayer Studio Sound Department
1930,SOUND RECORDING,True,Paramount Publix Studio Sound Department
1930,SOUND RECORDING,False,RKO Radio Studio Sound Department
1930,WRITING (Adaptation),True,Cimarron
1930,WRITING (Adaptation),False,The Criminal Code
1930,WRITING (Adaptation),False,Holiday
1930,WRITING (Adaptation),False,Little Caesar
1930,WRITING (Adaptation),False,Skippy
1930,WRITING (Original Story),True,The Dawn Patrol
1930,WRITING (Original Story),False,The Doorway to Hell
1930,WRITING (Original Story),False,Laughter
1930,WRITING (Original Story),False,The Public Enemy
1930,WRITING (Original Story),False,Smart Money
1930,SCIENTIFIC OR TECHNICAL AWARD (Class I),True,"To ELECTRICAL RESEARCH PRODUCTS, INC., RCA-PHOTOPHONE, INC. and RKO RADIO PICTURES, INC., for noise reduction recording equipment."
1930,SCIENTIFIC OR TECHNICAL AWARD (Class I),True,To DuPONT FILM MANUFACTURING CORP. and EASTMAN KODAK COMPANY for super-sensitive panchromatic film.
1930,SCIENTIFIC OR TECHNICAL AWARD (Class II),True,To FOX FILM CORP. for effective use of synchro-projection composite photography.
1930,SCIENTIFIC OR TECHNICAL AWARD (Class III),True,"To ELECTRICAL RESEARCH PRODUCTS, INC. for moving coil microphone transmitters."
1930,SCIENTIFIC OR TECHNICAL AWARD (Class III),True,"To RKO RADIO PICTURES, INC. for reflex type microphone concentrators."
1930,SCIENTIFIC OR TECHNICAL AWARD (Class III),True,"To RCA-PHOTOPHONE, INC. for ribbon microphone transmitters."
1931,ACTOR,True,Wallace Beery
1931,ACTOR,False,Alfred Lunt
1931,ACTOR,True,Fredric March
1931,ACTRESS,False,Marie Dressler
1931,ACTRESS,False,Lynn Fontanne
1931,ACTRESS,True,Helen Hayes
1931,ART DIRECTION,False,À Nous la Liberté
1931,ART DIRECTION,False,Arrowsmith
1931,ART DIRECTION,True,Transatlantic
1931,CINEMATOGRAPHY,False,Arrowsmith
1931,CINEMATOGRAPHY,False,Dr. Jekyll and Mr. Hyde
1931,CINEMATOGRAPHY,True,Shanghai Express
1931,DIRECTING,True,Bad Girl
1931,DIRECTING,False,The Champ
1931,DIRECTING,False,Shanghai Express
1931,OUTSTANDING PRODUCTION,False,Arrowsmith
1931,OUTSTANDING PRODUCTION,False,Bad Girl
1931,OUTSTANDING PRODUCTION,False,The Champ
1931,OUTSTANDING PRODUCTION,False,Five Star Final
1931,OUTSTANDING PRODUCTION,True,Grand Hotel
1931,OUTSTANDING PRODUCTION,False,One Hour with You
1931,OUTSTANDING PRODUCTION,False,Shanghai Express
1931,OUTSTANDING PRODUCTION,False,The Smiling Lieutenant
1931,SHORT SUBJECT (Cartoon),True,Flowers and Trees
1931,SHORT SUBJECT (Cartoon),False,It's Got Me Again
1931,SHORT SUBJECT (Cartoon),False,Mickey's Orphans
1931,SHORT SUBJECT (Comedy),False,The Loud Mouth
1931,SHORT SUBJECT (Comedy),True,The Music Box
1931,SHORT SUBJECT (Comedy),False,Scratch-As-Catch-Can
1931,SHORT SUBJECT (Comedy),False,Stout Hearts and Willing Hands
1931,SHORT SUBJECT (Novelty),False,Screen Souvenirs
1931,SHORT SUBJECT (Novelty),False,Swing High
1931,SHORT SUBJECT (Novelty),True,Wrestling Swordfish
1931,SOUND RECORDING,False,Metro-Goldwyn-Mayer Studio Sound Department
1931,SOUND RECORDING,True,Paramount Publix Studio Sound Department
1931,SOUND RECORDING,False,RKO Radio Studio Sound Department
1931,SOUND RECORDING,False,Warner Bros.-First National Studio Sound Department
1931,WRITING (Adaptation),False,Arrowsmith
1931,WRITING (Adaptation),True,Bad Girl
1931,WRITING (Adaptation),False,Dr. Jekyll and Mr. Hyde
1931,WRITING (Original Story),True,The Champ
1931,WRITING (Original Story),False,Lady and Gent
1931,WRITING (Original Story),False,The Star Witness
1931,WRITING (Original Story),False,What Price Hollywood?
1931,SPECIAL AWARD,True,"To Walt Disney for the creation of ""Mickey Mouse."""
1931,SCIENTIFIC OR TECHNICAL AWARD (Class II),True,To TECHNICOLOR MOTION PICTURE CORP. for its color cartoon process.
1931,SCIENTIFIC OR TECHNICAL AWARD (Class III),True,To EASTMAN KODAK COMPANY for its Type II-B Sensitometer.
1932,ACTOR,False,Leslie Howard
1932,ACTOR,True,Charles Laughton
1932,ACTOR,False,Paul Muni
1932,ACTRESS,True,Katharine Hepburn
1932,ACTRESS,False,May Robson
1932,ACTRESS,False,Diana Wynyard
1932,ART DIRECTION,True,Cavalcade
1932,ART DIRECTION,False,A Farewell to Arms
1932,ART DIRECTION,False,When Ladies Meet
1932,ASSISTANT DIRECTOR,False,Percy Ikerd (Fox)
1932,ASSISTANT DIRECTOR,True,William Tummel (Fox)
1932,ASSISTANT DIRECTOR,True,Charles Dorian (Metro-Goldwyn-Mayer)
1932,ASSISTANT DIRECTOR,False,Bunny Dull (Metro-Goldwyn-Mayer)
1932,ASSISTANT DIRECTOR,False,John S. Waters (Metro-Goldwyn-Mayer)
1932,ASSISTANT DIRECTOR,True,Charles Barton (Paramount)
1932,ASSISTANT DIRECTOR,False,Sidney S. Brod (Paramount)
1932,ASSISTANT DIRECTOR,False,Arthur Jacobson (Paramount)
1932,ASSISTANT DIRECTOR,False,Eddie Killey (RKO Radio)
1932,ASSISTANT DIRECTOR,True,Dewey Starkey (RKO Radio)
1932,ASSISTANT DIRECTOR,True,Fred Fox (United Artists)
1932,ASSISTANT DIRECTOR,False,Benjamin Silvey (United Artists)
1932,ASSISTANT DIRECTOR,True,Scott Beal (Universal)
1932,ASSISTANT DIRECTOR,False,Joe McDonough (Universal)
1932,ASSISTANT DIRECTOR,False,W. J. Reiter (Universal)
1932,ASSISTANT DIRECTOR,False,Al Alborn (Warner Bros.)
1932,ASSISTANT DIRECTOR,True,Gordon Hollingshead (Warner Bros.)
1932,ASSISTANT DIRECTOR,False,Frank X. Shaw (Warner Bros.)
1932,CINEMATOGRAPHY,True,A Farewell to Arms
1932,CINEMATOGRAPHY,False,Reunion in Vienna
1932,CINEMATOGRAPHY,False,The Sign of the Cross
1932,DIRECTING,True,Cavalcade
1932,DIRECTING,False,Lady for a Day
1932,DIRECTING,False,Little Women
1932,OUTSTANDING PRODUCTION,True,Cavalcade
1932,OUTSTANDING PRODUCTION,False,A Farewell to Arms
1932,OUTSTANDING PRODUCTION,False,42nd Street
1932,OUTSTANDING PRODUCTION,False,I Am a Fugitive from a Chain Gang
1932,OUTSTANDING PRODUCTION,False,Lady for a Day
1932,OUTSTANDING PRODUCTION,False,Little Women
1932,OUTSTANDING PRODUCTION,False,The Private Life of Henry VIII
1932,OUTSTANDING PRODUCTION,False,She Done Him Wrong
1932,OUTSTANDING PRODUCTION,False,Smilin' Through
1932,OUTSTANDING PRODUCTION,False,State Fair
1932,SHORT SUBJECT (Cartoon),False,Building a Building
1932,SHORT SUBJECT (Cartoon),False,The Merry Old Soul
1932,SHORT SUBJECT (Cartoon),True,The Three Little Pigs
1932,SHORT SUBJECT (Comedy),False,Mister Mugg
1932,SHORT SUBJECT (Comedy),False,A Preferred List
1932,SHORT SUBJECT (Comedy),True,So This Is Harris
1932,SHORT SUBJECT (Novelty),True,Krakatoa
1932,SHORT SUBJECT (Novelty),False,Menu
1932,SHORT SUBJECT (Novelty),False,The Sea
1932,SOUND RECORDING,True,A Farewell to Arms
1932,SOUND RECORDING,False,42nd Street
1932,SOUND RECORDING,False,Gold Diggers of 1933
1932,SOUND RECORDING,False,I Am a Fugitive from a Chain Gang
1932,WRITING (Adaptation),False,Lady for a Day
1932,WRITING (Adaptation),True,Little Women
1932,WRITING (Adaptation),False,State Fair
1932,WRITING (Original Story),True,One Way Passage
1932,WRITING (Original Story),False,The Prizefighter and the Lady
1932,WRITING (Original Story),False,Rasputin and the Empress
1932,SCIENTIFIC OR TECHNICAL AWARD (Class II),True,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their wide range recording and reporducing system."
1932,SCIENTIFIC OR TECHNICAL AWARD (Class II),True,"To RCA-VICTOR COMPANY, INC. for their high-fidelity recording and reproducing system."
1932,SCIENTIFIC OR TECHNICAL AWARD (Class III),True,"To FOX FILM CORPORATION, FRED JACKMAN and WARNER BROS. PICTURES, INC., and SIDNEY SANDERS of RKO Studios, Inc., for their development and effective use of the translucent cellulose screen in composite photography."
1934,ACTOR,True,Clark Gable
1934,ACTOR,False,Frank Morgan
1934,ACTOR,False,William Powell
1934,ACTRESS,True,Claudette Colbert
1934,ACTRESS,False,Bette Davis
1934,ACTRESS,False,Grace Moore
1934,ACTRESS,False,Norma Shearer
1934,ART DIRECTION,False,The Affairs of Cellini
1934,ART DIRECTION,False,The Gay Divorcee
1934,ART DIRECTION,True,The Merry Widow
1934,ASSISTANT DIRECTOR,False,Cleopatra
1934,ASSISTANT DIRECTOR,False,Imitation of Life
1934,ASSISTANT DIRECTOR,True,Viva Villa!
1934,CINEMATOGRAPHY,False,The Affairs of Cellini
1934,CINEMATOGRAPHY,True,Cleopatra
1934,CINEMATOGRAPHY,False,Operator 13
1934,DIRECTING,True,It Happened One Night
1934,DIRECTING,False,One Night of Love
1934,DIRECTING,False,The Thin Man
1934,FILM EDITING,False,Cleopatra
1934,FILM EDITING,True,Eskimo
1934,FILM EDITING,False,One Night of Love
1934,MUSIC (Scoring),False,The Gay Divorcee
1934,MUSIC (Scoring),False,The Lost Patrol
1934,MUSIC (Scoring),True,One Night of Love
1934,MUSIC (Song),False,Flying Down to Rio
1934,MUSIC (Song),True,The Gay Divorcee
1934,MUSIC (Song),False,She Loves Me Not
1934,OUTSTANDING PRODUCTION,False,The Barretts of Wimpole Street
1934,OUTSTANDING PRODUCTION,False,Cleopatra
1934,OUTSTANDING PRODUCTION,False,Flirtation Walk
1934,OUTSTANDING PRODUCTION,False,The Gay Divorcee
1934,OUTSTANDING PRODUCTION,False,Here Comes the Navy
1934,OUTSTANDING PRODUCTION,False,The House of Rothschild
1934,OUTSTANDING PRODUCTION,False,Imitation of Life
1934,OUTSTANDING PRODUCTION,True,It Happened One Night
1934,OUTSTANDING PRODUCTION,False,One Night of Love
1934,OUTSTANDING PRODUCTION,False,The Thin Man
1934,OUTSTANDING PRODUCTION,False,Viva Villa!
1934,OUTSTANDING PRODUCTION,False,The White Parade
1934,SHORT SUBJECT (Cartoon),False,Holiday Land
1934,SHORT SUBJECT (Cartoon),False,Jolly Little Elves
1934,SHORT SUBJECT (Cartoon),True,The Tortoise and the Hare
1934,SHORT SUBJECT (Comedy),True,La Cucaracha
1934,SHORT SUBJECT (Comedy),False,Men in Black
1934,SHORT SUBJECT (Comedy),False,"What, No Men!"
1934,SHORT SUBJECT (Novelty),False,Bosom Friends
1934,SHORT SUBJECT (Novelty),True,City of Wax
1934,SHORT SUBJECT (Novelty),False,Strikes and Spares
1934,SOUND RECORDING,False,The Affairs of Cellini
1934,SOUND RECORDING,False,Cleopatra
1934,SOUND RECORDING,False,Flirtation Walk
1934,SOUND RECORDING,False,The Gay Divorcee
1934,SOUND RECORDING,False,Imitation of Life
1934,SOUND RECORDING,True,One Night of Love
1934,SOUND RECORDING,False,Viva Villa!
1934,SOUND RECORDING,False,The White Parade
1934,WRITING (Adaptation),True,It Happened One Night
1934,WRITING (Adaptation),False,The Thin Man
1934,WRITING (Adaptation),False,Viva Villa!
1934,WRITING (Original Story),False,Hide-Out
1934,WRITING (Original Story),True,Manhattan Melodrama
1934,WRITING (Original Story),False,The Richest Girl in the World
1934,SPECIAL AWARD,True,"To Shirley Temple, in grateful recognition of her outstanding contribution to screen entertainment during the year 1934."
1934,SCIENTIFIC OR TECHNICAL AWARD (Class II),True,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their development of the Vertical Cut Disc Method of recording sound for motion pictures (hill and dale recording)."
1934,SCIENTIFIC OR TECHNICAL AWARD (Class III),True,"To COLUMBIA PICTURES CORPORATION for their application of the Vertical Cut Disc Method (hill and dale recording) to actual studio production, with their recording of the sound on the picture One Night of Love ."
1934,SCIENTIFIC OR TECHNICAL AWARD (Class III),True,To BELL AND HOWELL COMPANY for their development of the Bell and Howell Fully Automatic Sound and Picture Printer.
1935,ACTOR,False,Clark Gable
1935,ACTOR,False,Charles Laughton
1935,ACTOR,True,Victor McLaglen
1935,ACTOR,False,Paul Muni
1935,ACTOR,False,Franchot Tone
1935,ACTRESS,False,Elisabeth Bergner
1935,ACTRESS,False,Claudette Colbert
1935,ACTRESS,True,Bette Davis
1935,ACTRESS,False,Katharine Hepburn
1935,ACTRESS,False,Miriam Hopkins
1935,ACTRESS,False,Merle Oberon
1935,ART DIRECTION,True,The Dark Angel
1935,ART DIRECTION,False,The Lives of a Bengal Lancer
1935,ART DIRECTION,False,Top Hat
1935,ASSISTANT DIRECTOR,False,David Copperfield
1935,ASSISTANT DIRECTOR,False,Les Miserables
1935,ASSISTANT DIRECTOR,True,The Lives of a Bengal Lancer
1935,ASSISTANT DIRECTOR,False,A Midsummer Night's Dream
1935,CINEMATOGRAPHY,False,Barbary Coast
1935,CINEMATOGRAPHY,False,The Crusades
1935,CINEMATOGRAPHY,False,Les Miserables
1935,CINEMATOGRAPHY,True,A Midsummer Night's Dream
1935,DANCE DIRECTION,False,Busby Berkeley
1935,DANCE DIRECTION,False,Bobby Connolly
1935,DANCE DIRECTION,True,Dave Gould
1935,DANCE DIRECTION,False,Sammy Lee
1935,DANCE DIRECTION,False,Hermes Pan
1935,DANCE DIRECTION,False,LeRoy Prinz
1935,DANCE DIRECTION,False,Benjamin Zemach
1935,DIRECTING,False,Captain Blood
1935,DIRECTING,True,The Informer
1935,DIRECTING,False,The Lives of a Bengal Lancer
1935,DIRECTING,False,Mutiny on the Bounty
1935,FILM EDITING,False,David Copperfield
1935,FILM EDITING,False,The Informer
1935,FILM EDITING,False,Les Miserables
1935,FILM EDITING,False,The Lives of a Bengal Lancer
1935,FILM EDITING,True,A Midsummer Night's Dream
1935,FILM EDITING,False,Mutiny on the Bounty
1935,MUSIC (Scoring),False,Captain Blood
1935,MUSIC (Scoring),True,The Informer
1935,MUSIC (Scoring),False,Mutiny on the Bounty
1935,MUSIC (Scoring),False,Peter Ibbetson
1935,MUSIC (Song),False,Top Hat
1935,MUSIC (Song),False,Roberta
1935,MUSIC (Song),True,Gold Diggers of 1935
1935,OUTSTANDING PRODUCTION,False,Alice Adams
1935,OUTSTANDING PRODUCTION,False,Broadway Melody of 1936
1935,OUTSTANDING PRODUCTION,False,Captain Blood
1935,OUTSTANDING PRODUCTION,False,David Copperfield
1935,OUTSTANDING PRODUCTION,False,The Informer
1935,OUTSTANDING PRODUCTION,False,Les Miserables
1935,OUTSTANDING PRODUCTION,False,The Lives of a Bengal Lancer
1935,OUTSTANDING PRODUCTION,False,A Midsummer Night's Dream
1935,OUTSTANDING PRODUCTION,True,Mutiny on the Bounty
1935,OUTSTANDING PRODUCTION,False,Naughty Marietta
1935,OUTSTANDING PRODUCTION,False,Ruggles of Red Gap
1935,OUTSTANDING PRODUCTION,False,Top Hat
1935,SHORT SUBJECT (Cartoon),False,The Calico Dragon
1935,SHORT SUBJECT (Cartoon),True,Three Orphan Kittens
1935,SHORT SUBJECT (Cartoon),False,Who Killed Cock Robin?
1935,SHORT SUBJECT (Comedy),True,How to Sleep
1935,SHORT SUBJECT (Comedy),False,"Oh, My Nerves"
1935,SHORT SUBJECT (Comedy),False,Tit for Tat
1935,SHORT SUBJECT (Novelty),False,Audioscopiks
1935,SHORT SUBJECT (Novelty),False,Camera Thrills
1935,SHORT SUBJECT (Novelty),True,Wings over Mt. Everest
1935,SOUND RECORDING,False,Bride of Frankenstein
1935,SOUND RECORDING,False,Captain Blood
1935,SOUND RECORDING,False,The Dark Angel
1935,SOUND RECORDING,False,I Dream Too Much
1935,SOUND RECORDING,False,The Lives of a Bengal Lancer
1935,SOUND RECORDING,False,Love Me Forever
1935,SOUND RECORDING,True,Naughty Marietta
1935,SOUND RECORDING,False,"$1,000 a Minute"
1935,SOUND RECORDING,False,Thanks a Million
1935,WRITING (Original Story),False,Broadway Melody of 1936
1935,WRITING (Original Story),False,G-Men
1935,WRITING (Original Story),False,The Gay Deception
1935,WRITING (Original Story),True,The Scoundrel
1935,WRITING (Screenplay),False,Captain Blood
1935,WRITING (Screenplay),True,The Informer
1935,WRITING (Screenplay),False,The Lives of a Bengal Lancer
1935,WRITING (Screenplay),False,Mutiny on the Bounty
1935,SPECIAL AWARD,True,"To David Wark Griffith, for his distinguished creative achievements as director and producer and his invaluable initiative and lasting contributions to the progress of the motion picture arts."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class II),True,To AGFA ANSCO CORPORATION for their development of the Agfa infra-red film.
1935,SCIENTIFIC OR TECHNICAL AWARD (Class II),True,To EASTMAN KODAK COMPANY for their development of the Eastman Pola-Screen.
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),True,"To METRO-GOLDWYN-MAYER STUDIO for the development of anti-directional negative and positive development by means of jet turbulation, and the application of the method to all negative and print processing of the entire product of a major producing company."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),True,"To WILLIAM A. MUELLER of Warner Bros.-First National Studio Sound Department for his method of dubbing, in which the level of the dialogue automatically controls the level of the accompanying music and sound effects."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),True,"To MOLE-RICHARDSON COMPANY for their development of the ""Solar-spot"" spot lamps."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),True,To DOUGLAS SHEARER and METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for their automatic control system for cameras and sound recording machines and auxiliary stage equipment.
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),True,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their study and development of equipment to analyze and measure flutter resulting from the travel of the film through the mechanisms used in the recording and reproduction of sound."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),True,"To PARAMOUNT PRODUCTIONS, INC. for the design and construction of the Paramount transparency air turbine developing machine."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),True,"To NATHAN LEVINSON, Director of Sound Recording for Warner Bros.-First National Studio, for the method of intercutting variable density and variable area sound tracks to secure an increase in the effective volume range of sound recorded for motion pictures."
1936,ACTOR,False,Gary Cooper
1936,ACTOR,False,Walter Huston
1936,ACTOR,True,Paul Muni
1936,ACTOR,False,William Powell
1936,ACTOR,False,Spencer Tracy
1936,ACTOR IN A SUPPORTING ROLE,False,Mischa Auer
1936,ACTOR IN A SUPPORTING ROLE,True,Walter Brennan
1936,ACTOR IN A SUPPORTING ROLE,False,Stuart Erwin
1936,ACTOR IN A SUPPORTING ROLE,False,Basil Rathbone
1936,ACTOR IN A SUPPORTING ROLE,False,Akim Tamiroff
1936,ACTRESS,False,Irene Dunne
1936,ACTRESS,False,Gladys George
1936,ACTRESS,False,Carole Lombard
1936,ACTRESS,True,Luise Rainer
1936,ACTRESS,False,Norma Shearer
1936,ACTRESS IN A SUPPORTING ROLE,False,Beulah Bondi
1936,ACTRESS IN A SUPPORTING ROLE,False,Alice Brady
1936,ACTRESS IN A SUPPORTING ROLE,False,Bonita Granville
1936,ACTRESS IN A SUPPORTING ROLE,False,Maria Ouspenskaya
1936,ACTRESS IN A SUPPORTING ROLE,True,Gale Sondergaard
1936,ART DIRECTION,False,Anthony Adverse
1936,ART DIRECTION,True,Dodsworth
1936,ART DIRECTION,False,The Great Ziegfeld
1936,ART DIRECTION,False,Lloyds of London
1936,ART DIRECTION,False,The Magnificent Brute
1936,ART DIRECTION,False,Romeo and Juliet
1936,ART DIRECTION,False,Winterset
1936,ASSISTANT DIRECTOR,False,Anthony Adverse
1936,ASSISTANT DIRECTOR,True,The Charge of the Light Brigade
1936,ASSISTANT DIRECTOR,False,The Garden of Allah
1936,ASSISTANT DIRECTOR,False,The Last of the Mohicans
1936,ASSISTANT DIRECTOR,False,San Francisco
1936,CINEMATOGRAPHY,True,Anthony Adverse
1936,CINEMATOGRAPHY,False,The General Died at Dawn
1936,CINEMATOGRAPHY,False,The Gorgeous Hussy
1936,DANCE DIRECTION,False,Busby Berkeley
1936,DANCE DIRECTION,False,Bobby Connolly
1936,DANCE DIRECTION,True,Seymour Felix
1936,DANCE DIRECTION,False,Dave Gould
1936,DANCE DIRECTION,False,Jack Haskell
1936,DANCE DIRECTION,False,Russell Lewis
1936,DANCE DIRECTION,False,Hermes Pan
1936,DIRECTING,False,Dodsworth
1936,DIRECTING,False,The Great Ziegfeld
1936,DIRECTING,True,Mr. Deeds Goes to Town
1936,DIRECTING,False,My Man Godfrey
1936,DIRECTING,False,San Francisco
1936,FILM EDITING,True,Anthony Adverse
1936,FILM EDITING,False,Come and Get It
1936,FILM EDITING,False,The Great Ziegfeld
1936,FILM EDITING,False,Lloyds of London
1936,FILM EDITING,False,A Tale of Two Cities
1936,FILM EDITING,False,Theodora Goes Wild
1936,MUSIC (Scoring),True,Anthony Adverse
1936,MUSIC (Scoring),False,The Charge of the Light Brigade
